Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Prep Males,Prep Females,Prep Total,Year 1 Males,Year 1 Females,Year 1 Total,Year 2 Males,Year 2 Females,Year 2 Total,Year 3 Males,Year 3 Females,Year 3 Total,Year 4 Males,Year 4 Females,Year 4 Total,Year 5 Males,Year 5 Females,Year 5 Total,Year 6 Males,Year 6 Females,Year 6 Total,Primary Ungraded Males,Primary Ungraded Females,Primary Ungraded Total,Primary Total,Year 7 Males,Year 7 Females,Year 7 Total,Year 8 Males,Year 8 Females,Year 8 Total,Year 9 Males,Year 9 Females,Year 9 Total,Year 10 Males,Year 10 Females,Year 10 Total,Year 11 Males,Year 11 Females,Year 11 Total,Year 12 Males,Year 12 Females,Year 12 Total,Postprimary Ungraded Males,Postprimary Ungraded Females,Postprimary Ungraded Total,Secondary Total,Grand Total
Catholic,2,20,Parade College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,356,323,0,323,345,0,345,312,0,312,302.4,0,302.4,262.4,0,262.4,0,0,0,1900.8,1900.8
Catholic,2,25,Simonds Catholic College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,81,104,0,104,87,0,87,76,0,76,76,0,76,70,0,70,0,0,0,494,494
Catholic,2,26,Christian Brothers' College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,98,94,0,94,78,0,78,98,0,98,102,0,102,105,0,105,0,0,0,575,575
Catholic,2,28,St Patrick's College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,250,194,0,194,206,0,206,238,0,238,195,0,195,178,0,178,0,0,0,1261,1261
Catholic,2,29,St Patrick's School,Primary,O,27,22,49,23,15,38,10,12,22,13,20,33,12,14,26,11,16,27,14,19,33,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228
Catholic,2,30,St Alipius' Parish School,Primary,O,15,18,33,27,14,41,19,13,32,24,18,42,26,19,45,27,13,40,21,20,41,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274
Catholic,2,31,St Augustine's Education & Training Centre,Special,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,30,30,30
Catholic,2,33,Emmanuel College Inc,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.1,103,217.1,94.4,116.4,210.8,104,96,200,107,104,211,87,90,177,60.8,85,145.8,0,0,0,1161.7,1161.7
Catholic,2,35,Loreto College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,135,0,135,135,0,135,135,0,134,134,0,132,132,0,132,132,0,0,0,803,803
Catholic,2,60,St Mary's School,Primary,O,22,22,44,19,18,37,12,8,20,13,20,33,9,15,24,15,13,28,13,10,23,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209
