2009,Entity_Type,School_No,School_Name,School_Type,School_Status,Prep Males Total,Prep Females Total,Prep Total,Year 1 Males Total,Year 1 Females Total,Year 1 Total,Year 2 Males Total,Year 2 Females Total,Year 2 Total,Year 3 Males Total,Year 3 Females Total,Year 3 Total,Year 4 Males Total,Year 4 Females Total,Year 4 Total,Year 5 Males Total,Year 5 Females Total,Year 5 Total,Year 6 Males Total,Year 6 Females Total,Year 6 Total,Primary Ungraded Males Total,Primary Ungraded Females Total,Primary Ungraded Total,Primary Total,Year 7 Males Total,Year 7 Females Total,Year 7 Total,Year 8 Males Total,Year 8 Females Total,Year 8 Total,Year 9 Males Total,Year 9 Females Total,Year 9 Total,Year 10 Males Total,Year 10 Females Total,Year 10 Total,Year 11 Males Total,Year 11 Females Total,Year 11 Total,Year 12 Males,Year 12 Females,Year 12 Total,Secondary Ungraded Males Total,Secondary Ungraded Females Total,Secondary Ungraded Total,Secondary Total,Grand Total
Government,1,1911,Moolap Primary School,Primary,O,20,20,40,17,18,35,19,16,35,17,9,26,15,20,35,9,15,24,12,19,31,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226
Government,1,1912,Footscray City Primary School,Primary,O,21,13,34,24,19,43,23,16,39,30,25,55,26.8,19,45.8,23,21,44,20,20,40,0,0,0,300.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300.8
Government,1,1913,Newham Primary School,Primary,O,6,12,18,1,5,6,4,7,11,3,6,9,1,2,3,5,3,8,4,1,5,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
Government,1,1915,Plenty Parklands Primary School,Primary,O,50,60,110,61,65,126,47,58,105,51,50,101,53,55,108,43,50,93,59,50,109,0,0,0,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752
Government,1,1916,White Hills Primary School,Primary,O,24,22,46,47,28,75,27,13,40,32,26,58,26,32,58,21,28,49,35,15,50,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376
Government,1,1918,Mount Egerton Primary School,Primary,O,3,3,6,0,0,0,0,1,1,5,2,7,0,2,2,2,2,4,3,1,4,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Government,1,1924,Drouin Primary School,Primary,O,18,13,31,15,13,28,14,16,30,16,16,32,13,6,19,20,18,38,18,11,29,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207
Government,1,1938,Wunghnu Primary School,Primary,O,1,2,3,2,1,3,2,0,2,2,3,5,1,1,2,3,0,3,4,1,5,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Government,1,1943,Maroona Primary School,Primary,O,1,4,5,2,1,3,1,3,4,1,5,6,0,3,3,1,5,6,0,2,2,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
Government,1,1951,Jindivick Primary School,Primary,O,3,1,4,2,5,7,1,2,3,4,3,7,4,2,6,2,3,5,1,4,5,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
Government,1,1954,Talgarno Primary School,Primary,O,1,0,1,0.5,1,1.5,1,1,2,0,0,0,1,1,2,2,1.8,3.8,0,0,0,0,0,0,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3
