Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Prep Males,Prep Females,Prep Total,Year 1 Males,Year 1 Females,Year 1 Total,Year 2 Males,Year 2 Females,Year 2 Total,Year 3 Males,Year 3 Females,Year 3 Total,Year 4 Males,Year 4 Females,Year 4 Total,Year 5 Males,Year 5 Females,Year 5 Total,Year 6 Males,Year 6 Females,Year 6 Total,Primary Ungraded Males,Primary Ungraded Females,Primary Ungraded Total,Primary Total,Year 7 Males,Year 7 Females,Year 7 Total,Year 8 Males,Year 8 Females,Year 8 Total,Year 9 Males,Year 9 Females,Year 9 Total,Year 10 Males,Year 10 Females,Year 10 Total,Year 11 Males,Year 11 Females,Year 11 Total,Year 12 Males,Year 12 Females,Year 12 Total,Postprimary Ungraded Males,Postprimary Ungraded Females,Postprimary Ungraded Total,Secondary Total,Grand Total
Government,1,4317,Ashburton Primary School,Primary,O,38,39,77,25,36,61,40,53,93,38,31,69,41,29,70,26,34,60,22,28,50,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480
Government,1,4318,Bentleigh West Primary School,Primary,O,50,34,84,65,51,116,45,34,79,29,50,79,43,39,82,31,25,56,32,33,65,0,0,0,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561
Government,1,4324,Seaspray Primary School,Primary,O,1,0,1,1,3,4,0,0,0,1,1,2,3,1,4,2,3,5,0,6,6,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Government,1,4332,Anglesea Primary School,Primary,O,9,11,20,14,7,21,12,5,17,6,11,17,8,6,14,12,8,20,11,10,21,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130
Government,1,4341,Briar Hill Primary School,Primary,O,11,12,23,16,12,28,14,9,23,10,14,24,13,12,25,6,15,21,5,13,18,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162
Government,1,4359,Zeerust Primary School,Primary,O,1,3,4,1,0,1,0,0,0,0,2,2,1,2,3,4,1,5,0,2,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Government,1,4366,Mckinnon Primary School,Primary,O,50,46,96,43,36,79,58,52,110,64,57,121,50,54,104,66,62,128,70,70,140,0,0,0,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778
Government,1,4384,Clayton South Primary School,Primary,O,6,19,25,8,6,14,12,15,27,11,9,20,12,11,23,14,13,27,12,21,33,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169
Government,1,4386,Ivanhoe East Primary School,Primary,O,35,32,67,48,37,85,42,32,74,46,34,80,54,34,88,30,35,65,40,32,72,0,0,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531
Government,1,4387,Cobains Primary School,Primary,O,2,2,4,7,3,10,2,3,5,2,5,7,0,2,2,3,1,4,1,7,8,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Government,1,4389,Mildura South Primary School,Primary,O,62,53,115,45,39,84,52,32,84,42,43,85,46,51,97,44,40,84,47,60,107,0,0,0,656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656
Government,1,4398,Tate Street Primary School Geelong,Primary,O,12,8,20,4,8,12,15,6,21,8,6,14,6,4,10,11,11,22,10,4,14,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
Government,1,4399,Brunswick North West Primary School,Primary,O,21,11,32,12,15,27,15,17,32,12,18,30,17,20,37,17,18,35,22,12,34,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227
Government,1,4401,Katandra West Primary School,Primary,O,3,8,11,3,6,9,6,4,10,2,2,4,0,4,4,10,7,17,6,5,11,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
Government,1,4407,Fleetwood Primary School,Primary,O,27,15,42,19,22,41,26,24,50,25,26,51,38,19,57,24,23,47,33,29,62,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350
Government,1,4416,Sunnycliffs Primary School,Primary,O,4,0,4,3,1,4,2,3,5,2,0,2,1,2,3,3,2,5,1,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Government,1,4429,Sandringham East Primary School,Primary,O,36,35,71,35,40,75,37,47,84,33,28,61,37,30,67,38,27,65,23,11,34,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457
Government,1,4440,Seaholme Primary School,Primary,O,27,16,43,15,19,34,19,19,38,25,21,46,9,12,21,21,18,39,16,9,25,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246
Government,1,4458,Somers Primary School,Primary,O,12,10.5,22.5,13,14,27,14,11,25,13,14,27,9,17,26,16,5,21,11,11,22,0,0,0,170.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.5
Government,1,4530,Upwey Primary School,Primary,O,13,6,19,9,4,13,5,5,10,2,6,8,4,7,11,7,7,14,9,8,17,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
Government,1,4543,Coburg North Primary School,Primary,O,22,20,42,24,11,35,15,13,28,13,11,24,4,10,14,10,8,18,7,9,16,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177
Government,1,4568,Rosanna Primary School,Primary,O,20,38,58,25,17,42,23,20,43,21,19,40,16,27,43,20,23,43,16,18,34,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303
