Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Prep Males Total,Prep Females Total,Prep Total,Year 1 Males Total,Year 1 Females Total,Year 1 Total,Year 2 Males Total,Year 2 Females Total,Year 2 Total,Year 3 Males Total,Year 3 Females Total,Year 3 Total,Year 4 Males Total,Year 4 Females Total,Year 4 Total,Year 5 Males Total,Year 5 Females Total,Year 5 Total,Year 6 Males Total,Year 6 Females Total,Year 6 Total,Primary Ungraded Males Total,Primary Ungraded Females Total,Primary Ungraded Total,Primary Total,Year 7 Males Total,Year 7 Females Total,Year 7 Total,Year 8 Males Total,Year 8 Females Total,Year 8 Total,Year 9 Males Total,Year 9 Females Total,Year 9 Total,Year 10 Males Total,Year 10 Females Total,Year 10 Total,Year 11 Males Total,Year 11 Females Total,Year 11 Total,Year 12 Males,Year 12 Females,Year 12 Total,Secondary Ungraded Males Total,Secondary Ungraded Females Total,Secondary Ungraded Total,Secondary Total,Grand Total
Government,1,4968,Glenallen School,Special,O,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6,21.6,43.2,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,27.4,59.4,59.4,106.6
Government,1,4969,Milleara Primary School,Primary,C,3,5,8,7,9,16,8,12,20,3,10,13,13,5,18,18,15,33,10,10,20,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
Government,1,4970,Churchill Primary School,Primary,O,13,15,28,13,10,23,10,14,24,10,16,26,20,8,28,15,10,25,14,13,27,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181
Government,1,4972,Montpellier Primary School,Primary,O,37,32,69,27,36,63,33,31,64,40,41,81,32,35,67,36,49,85,44,21,65,0,0,0,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494
Government,1,4973,Bayswater South Primary School,Primary,O,21,13,34,20,22,42,14,23,37,18,21,39,18,19,37,18,19,37,13,24,37,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263
Government,1,4974,Seaford North Primary School,Primary,O,22,25,47,12,28,40,25,25,50,21,16,37,16,16,32,18,20,38,16,21,37,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281
Government,1,4975,Morwell Park Primary School,Primary,O,23,21,44,23,21,44,27,26,53,22,32,54,24,28.8,52.8,27,30,57,31.4,26,57.4,0,0,0,362.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362.2
Government,1,4976,Lalor East Primary School,Primary,O,34,31,65,31,30,61,35,25,60,28,28,56,31,42,73,28,34,62,40,24,64,0,0,0,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441
Government,1,4979,Jackson School,Special,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,20.2,63.2,63.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.4,37.4,113.8,113.8,177
Government,1,4980,Carlton Primary School,Primary,O,4,10,14,6,7,13,9,7,16,5,2,7,2,5,7,3,3,6,4,6,10,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
Government,1,4983,Oberon South Primary School,Primary,O,9,5,14,7,5,12,9,9,18,13,11,24,14,13,27,16,15,31,14,10,24,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
Government,1,4985,Templestowe Valley Primary School,Primary,O,27,31,58,34,30,64,28,33,61,22,30,52,44,17,61,43,21,64,27,22,49,1.2,0,1.2,410.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410.2
Government,1,4986,Highvale Primary School,Primary,O,21,18,39,13,8,21,19,10,29,17,21,38,16,12,28,12,11,23,25,21,46,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224
Government,1,4988,Watsonia North Primary School,Primary,O,57,33,90,37,31,68,44,36,80,33,41,74,22,54,76,35,28,63,40,27,67,0,0,0,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518
Government,1,4989,Wooranna Park Primary School,Primary,O,27,26,53,33,18,51,17,25,42,23,24,47,19,21,40,28,24,52,24,31,55,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340
