"Post School Destinations of Year 12 or equivalent completers in 2018, Victorian schools",,,,,,,,,,,,,
Source: On Track Year 12 completer survey 2019 (Department of Education and Training),,,,,,,,,,,,,
,,,,,,,,,,,,,
VCAA CODE,SCHOOL NAME,SECTOR,LOCALITY,TOTAL COMPLETED YEAR 12,ON TRACK CONSENTERS,ON TRACK SURVEY DATA 2019 **,,,,,,,
,,,,,,ON TRACK RESPONDENTS*,IN EDUCATION AND TRAINING - MAY 2019,,,,NOT IN EDUCATION AND TRAINING - MAY 2019,,
,,,,,,,BACHELOR ENROLLED,DEFERRED,TAFE / VET ENROLLED,APPRENTICE / TRAINEE,EMPLOYED,LOOKING FOR WORK,Other^
,,,,(NUMBER),(NUMBER),(NUMBER),(PER CENT),(PER CENT),(PER CENT),(PER CENT),(PER CENT),(PER CENT),(PER CENT)
01464,CAREY BAPTIST GRAMMAR SCHOOL,I,KEW,271,257,153,84,7,3,2,3,1,0
01099,CAROLINE CHISHOLM CATHOLIC COLLEGE,C,BRAYBROOK,225,119,73,68,7,10,5,8,1,0
14175,CARRUM DOWNS SECONDARY COLLEGE,G,CARRUM DOWNS,85,45,30,33,10,23,7,13,13,0
01192,CARWATHA COLLEGE P-12,G,NOBLE PARK NORTH,73,54,42,45,10,10,14,12,7,2
01450,CASTLEMAINE SECONDARY COLLEGE,G,CASTLEMAINE REGION,61,49,42,21,24,17,0,33,5,0
13762,CATHEDRAL COLLEGE WANGARATTA,I,WANGARATTA REGION,32,28,20,50,10,20,15,5,0,0
01540,CATHERINE MCAULEY COLLEGE,C,BENDIGO,230,210,121,48,16,5,16,15,1,0
01048,CATHOLIC COLLEGE SALE,C,SALE,103,88,44,32,32,14,9,11,2,0
01033,CATHOLIC COLLEGE WODONGA,C,WEST WODONGA,161,137,80,41,16,13,21,9,0,0
01408,CATHOLIC LADIES' COLLEGE LTD,C,ELTHAM,179,153,92,76,10,5,0,8,1,0
01629,CAULFIELD GRAMMAR SCHOOL,I,WHEELERS HILL,171,160,94,82,4,6,5,2,0,0
1063,CENTRE FOR ADULT EDUCATION,A,MELBOURNE,66,45,25,36,12,12,0,28,8,4
01890,CHAIRO CHRISTIAN SCHOOL,I,DROUIN,88,70,43,49,5,7,9,19,12,0
01748,CHARLES LA TROBE P-12 COLLEGE,G,KINGSBURY,41,26,20,60,10,20,5,5,0,0
01243,CHARLTON COLLEGE,G,BULOKE,16,10,10,20,40,10,10,10,10,0
01459,CHELTENHAM SECONDARY COLLEGE,G,CHELTENHAM - HIGHETT (EAST),143,128,85,47,5,12,15,16,5,0
1188,CHISHOLM INSTITUTE - DANDENONG CAMPUS,A,DANDENONG,146,93,53,6,4,30,21,30,8,2
01201,CHRISTIAN BROTHERS' COLLEGE ST KILDA,C,ST KILDA EAST,76,64,38,58,5,16,11,11,0,0
01787,CHRISTIAN COLLEGE INSTITUTE OF SENIOR EDUCATION,I,HIGHTON,143,111,78,50,22,6,6,14,0,1
01543,COBDEN TECHNICAL SCHOOL,G,CORANGAMITE - SOUTH,21,21,15,13,7,13,33,33,0,0
01135,COBRAM SECONDARY COLLEGE,G,COBRAM,31,27,19,21,16,16,11,32,5,0
01037,COHUNA SECONDARY COLLEGE,G,GANNAWARRA,34,30,18,61,6,6,17,6,6,0
01643,COLAC SECONDARY COLLEGE,G,COLAC REGION,46,45,24,0,21,4,38,33,4,0
