"Post School Destinations of Year 12 or equivalent completers in 2018, Victorian schools",,,,,,,,,,,,,
Source: On Track Year 12 completer survey 2019 (Department of Education and Training),,,,,,,,,,,,,
,,,,,,,,,,,,,
VCAA CODE,SCHOOL NAME,SECTOR,LOCALITY,TOTAL COMPLETED YEAR 12,ON TRACK CONSENTERS,ON TRACK SURVEY DATA 2019 **,,,,,,,
,,,,,,ON TRACK RESPONDENTS*,IN EDUCATION AND TRAINING - MAY 2019,,,,NOT IN EDUCATION AND TRAINING - MAY 2019,,
,,,,,,,BACHELOR ENROLLED,DEFERRED,TAFE / VET ENROLLED,APPRENTICE / TRAINEE,EMPLOYED,LOOKING FOR WORK,Other^
,,,,(NUMBER),(NUMBER),(NUMBER),(PER CENT),(PER CENT),(PER CENT),(PER CENT),(PER CENT),(PER CENT),(PER CENT)
01371,MIRBOO NORTH SECONDARY COLLEGE,G,LEONGATHA,44,42,33,36,9,21,6,24,3,0
01062,MONBULK COLLEGE,G,MONBULK - SILVAN,58,46,28,39,25,18,0,18,0,0
01071,MONTMORENCY SECONDARY COLLEGE,G,MONTMORENCY - BRIAR HILL,89,89,55,44,13,13,7,24,0,0
01482,MOOROOPNA SECONDARY COLLEGE,G,MOOROOPNA,39,28,21,24,10,19,19,19,10,0
01376,MORDIALLOC COLLEGE,G,EDITHVALE - ASPENDALE,72,57,42,26,12,26,12,19,5,0
01590,MORNINGTON SECONDARY COLLEGE,G,MORNINGTON,215,204,111,27,22,14,8,23,6,0
01407,MOUNT ALEXANDER 7-12 COLLEGE,G,FLEMINGTON,45,38,28,36,18,25,11,4,7,0
01329,MOUNT BEAUTY SECONDARY COLLEGE,G,BRIGHT - MOUNT BEAUTY,30,27,21,29,19,10,19,19,5,0
01531,MOUNT CLEAR COLLEGE,G,BALLARAT - SOUTH,109,71,51,25,14,18,12,25,6,0
01228,MOUNT ELIZA SECONDARY COLLEGE,G,MOUNT ELIZA,77,59,42,40,12,19,12,12,5,0
01637,MOUNT ERIN SECONDARY COLLEGE,G,FRANKSTON SOUTH,87,54,38,24,24,21,8,16,8,0
01047,MOUNT EVELYN CHRISTIAN SCHOOL/RANGES TEC,I,MONTROSE,51,39,23,35,22,22,9,9,4,0
14946,MOUNT RIDLEY P-12 COLLEGE,G,CRAIGIEBURN - MICKLEHAM,169,120,86,41,2,22,9,15,10,0
01532,MOUNT ROWAN SECONDARY COLLEGE,G,WENDOUREE - MINERS REST,19,18,13,46,0,15,0,31,8,0
01430,MOUNT ST JOSEPH GIRLS' COLLEGE,C,ALTONA,159,112,66,68,6,20,3,3,0,0
01383,MOUNT WAVERLEY SECONDARY COLLEGE,G,MOUNT WAVERLEY - NORTH,293,167,134,66,7,20,4,1,0,1
01656,MULLAUNA SECONDARY COLLEGE,G,MITCHAM (VIC.),59,47,36,61,11,6,8,11,3,0
01369,NAGLE COLLEGE,C,BAIRNSDALE,92,77,49,16,33,8,14,24,2,2
01080,NATHALIA SECONDARY COLLEGE,G,NUMURKAH,24,21,11,9,18,18,9,36,9,0
01750,NAZARETH COLLEGE,C,NOBLE PARK NORTH,126,121,67,55,6,18,7,4,6,3
01487,NEWCOMB SECONDARY COLLEGE,G,NEWCOMB - MOOLAP,42,39,29,14,7,14,14,34,17,0
01564,NEWHAVEN COLLEGE,I,PHILLIP ISLAND,81,55,37,57,14,3,16,8,0,3
01287,NHILL COLLEGE,G,NHILL REGION,23,23,18,28,11,11,22,11,17,0
01380,NORTH GEELONG SECONDARY COLLEGE,G,NORTH GEELONG - BELL PARK,99,99,63,40,8,17,16,11,5,3
01123,NORTHCOTE HIGH SCHOOL,G,NORTHCOTE,265,264,183,57,14,14,5,9,1,1
01596,NORTHERN COLLEGE OF THE ARTS AND TECHNOLOGY,G,PRESTON,133,109,76,12,5,24,18,26,13,1
01942,NORTHSIDE CHRISTIAN COLLEGE,I,BUNDOORA - WEST,21,21,15,67,13,7,7,0,7,0
01077,NORWOOD SECONDARY COLLEGE,G,RINGWOOD,153,153,103,32,11,23,10,18,6,0
15007,NOSSAL HIGH SCHOOL,G,BERWICK - NORTH,205,175,136,93,3,3,0,1,1,0
01541,NOTRE DAME COLLEGE,C,SHEPPARTON - NORTH,215,167,98,26,20,11,22,16,4,0
01745,NUNAWADING CHRISTIAN COLLEGE-SECONDARY,I,NUNAWADING,22,15,13,54,0,15,8,15,8,0
01328,OBERON HIGH SCHOOL,G,BELMONT,59,50,38,45,8,11,18,13,3,3
13461,ONESCHOOL GLOBAL VIC,I,PLENTY - YARRAMBAT,50,50,28,4,0,7,39,50,0,0
01086,ORBOST SECONDARY COLLEGE,G,ORBOST,15,11,10,10,20,0,20,50,0,0
01326,OUR LADY OF MERCY COLLEGE,C,HEIDELBERG - ROSANNA,168,138,89,82,4,6,3,2,1,1
01274,OUR LADY OF SION COLLEGE,C,BOX HILL,139,88,50,76,10,8,0,4,2,0
01379,OUR LADY OF THE SACRED HEART COLLEGE,C,BENTLEIGH - MCKINNON,101,63,40,70,3,13,3,13,0,0
01753,OVERNEWTON ANGLICAN COMMUNITY COLLEGE,I,KEILOR,167,147,81,62,7,17,9,4,1,0
01530,OXLEY CHRISTIAN COLLEGE,I,CHIRNSIDE PARK,89,71,44,70,5,9,7,9,0,0
01167,PADUA COLLEGE,C,MORNINGTON,336,238,133,49,12,8,12,17,2,0
01396,PAKENHAM SECONDARY COLLEGE,G,PAKENHAM - SOUTH,67,51,40,43,10,18,10,18,3,0
01225,PARADE COLLEGE,C,BUNDOORA - EAST,271,180,95,61,2,15,16,5,1,0
01338,PARKDALE SECONDARY COLLEGE,G,MORDIALLOC - PARKDALE,241,206,140,39,9,20,15,14,3,0
01284,PASCOE VALE GIRLS SECONDARY COLLEGE,G,PASCOE VALE,169,156,118,57,1,21,5,8,8,0
01466,PATTERSON RIVER SECONDARY COLLEGE,G,SEAFORD (VIC.),126,125,75,29,11,15,9,24,11,1
01075,PENINSULA GRAMMAR,I,MOUNT ELIZA,159,142,78,69,10,10,6,4,0,0
01171,PENLEIGH & ESSENDON GRAMMAR SCHOOL,I,KEILOR EAST,239,238,163,82,5,6,2,4,1,0
01153,PENOLA CATHOLIC COLLEGE,C,BROADMEADOWS,225,223,118,49,10,17,14,6,3,1
01581,PHOENIX P-12 COMMUNITY COLLEGE,G,BALLARAT - SOUTH,70,64,51,24,10,22,22,12,10,2
01786,PLENTY VALLEY CHRISTIAN COLLEGE,I,PANTON HILL - ST ANDREWS,76,52,39,51,15,13,13,8,0,0
14555,POINT COOK SENIOR SECONDARY COLLEGE,G,POINT COOK,222,125,72,36,11,18,8,17,8,1
01662,PORTLAND SECONDARY COLLEGE,G,PORTLAND,88,58,43,23,16,9,14,35,2,0
01072,PRESBYTERIAN LADIES' COLLEGE,I,BURWOOD,158,146,103,93,2,0,1,4,0,0
01020,PRESENTATION COLLEGE WINDSOR,C,PRAHRAN - WINDSOR,84,53,33,64,12,12,6,3,3,0
01194,PRINCES HILL SECONDARY COLLEGE,G,CARLTON NORTH - PRINCES HILL,145,91,73,68,15,10,1,4,1,0
01500,RESERVOIR HIGH SCHOOL,G,RESERVOIR - EAST,70,56,41,59,5,22,5,5,2,2
01448,RINGWOOD SECONDARY COLLEGE,G,RINGWOOD,224,178,116,47,14,14,14,11,0,0
01715,ROBINVALE COLLEGE,G,ROBINVALE,24,17,10,10,10,10,10,60,0,0
01142,ROCHESTER SECONDARY COLLEGE,G,ROCHESTER,48,45,36,47,3,14,17,14,6,0
01044,ROSEBUD SECONDARY COLLEGE,G,ROSEBUD - MCCRAE,158,138,90,27,20,13,10,24,4,1
01658,ROSEHILL SECONDARY COLLEGE,G,NIDDRIE - ESSENDON WEST,156,85,60,53,10,12,12,10,3,0
01838,ROWVILLE SECONDARY COLLEGE,G,ROWVILLE - CENTRAL,236,172,100,29,9,24,13,21,4,0
01246,ROXBURGH COLLEGE,G,ROXBURGH PARK - SOMERTON,165,165,101,36,3,23,8,16,14,1
01303,RUTHERGLEN HIGH SCHOOL,G,RUTHERGLEN,19,18,13,23,15,8,15,38,0,0
01176,RUYTON GIRLS' SCHOOL,I,KEW,82,55,33,88,0,3,3,6,0,0
01124,SACRE COEUR,C,MALVERN - GLEN IRIS,87,59,38,92,5,0,3,0,0,0
01493,SACRED HEART COLLEGE,C,NEWTOWN (VIC.),217,181,97,63,11,6,4,14,1,0
01511,SACRED HEART COLLEGE,C,KYNETON,115,84,51,43,29,8,8,12,0,0
01078,SACRED HEART GIRLS' COLLEGE,C,HUGHESDALE,167,148,96,82,6,9,0,1,1,0
01793,SAINT IGNATIUS COLLEGE GEELONG,C,CLIFTON SPRINGS,183,183,105,50,11,10,8,18,2,0
01199,SALE COLLEGE,G,SALE,87,62,39,23,13,13,8,31,13,0
01026,SALESIAN COLLEGE,C,ASHWOOD - CHADSTONE,168,92,55,69,2,7,16,4,0,2
01057,SALESIAN COLLEGE,C,SUNBURY,186,144,95,53,7,19,13,7,1,0
01664,SANDRINGHAM COLLEGE,G,SANDRINGHAM - BLACK ROCK,172,115,74,39,7,22,11,11,9,1
01070,SANTA MARIA COLLEGE,C,NORTHCOTE,142,115,76,72,9,14,3,1,0,0
01343,SCORESBY SECONDARY COLLEGE,G,KNOXFIELD - SCORESBY,35,19,16,38,6,6,6,44,0,0
01497,SCOTCH COLLEGE,I,HAWTHORN,245,194,120,82,8,4,3,3,2,0
01255,SEYMOUR COLLEGE,G,SEYMOUR,55,53,30,17,13,23,23,13,7,3
01442,SHELFORD GIRLS' GRAMMAR,I,CAULFIELD - NORTH,63,59,43,91,2,5,0,2,0,0
01731,SHERBROOKE COMMUNITY SCHOOL,G,MOUNT DANDENONG - OLINDA,21,20,13,15,0,46,8,8,23,0
01388,SIENA COLLEGE LTD,C,SURREY HILLS (WEST) - CANTERBURY,127,96,53,91,2,4,0,4,0,0
11800,SIMONDS CATHOLIC COLLEGE,C,FITZROY NORTH,65,39,23,74,0,17,9,0,0,0
14403,SOMERVILLE SECONDARY COLLEGE,G,SOMERVILLE,29,24,13,46,0,15,8,31,0,0
01651,SOUTH OAKLEIGH SECONDARY COLLEGE,G,OAKLEIGH - HUNTINGDALE,56,55,32,34,6,34,9,0,16,0
15092,SOUTHERN CROSS GRAMMAR,I,TAYLORS HILL,18,18,11,64,18,0,9,9,0,0
01133,ST ALBANS SECONDARY COLLEGE,G,ST ALBANS - SOUTH,194,150,111,58,4,25,5,6,3,0
01339,ST ALOYSIUS COLLEGE,C,NORTH MELBOURNE,86,72,51,63,6,16,6,8,0,2
11535,ST ANDREWS CHRISTIAN COLLEGE,I,WANTIRNA SOUTH,30,28,20,70,0,10,5,10,5,0
01259,ST ARNAUD SECONDARY COLLEGE,G,ST ARNAUD,24,21,16,25,19,13,13,31,0,0
11313,ST AUGUSTINE'S COLLEGE,C,KYABRAM,46,33,24,38,38,13,4,8,0,0
01244,ST BRIGID'S COLLEGE,C,HORSHAM REGION,60,59,34,32,12,18,21,15,3,0
01130,ST CATHERINE'S SCHOOL,I,TOORAK,76,67,38,82,5,5,3,5,0,0
01083,ST COLUMBA'S COLLEGE,C,ESSENDON - ABERFELDIE,178,168,106,84,1,5,2,8,1,0
01524,ST FRANCIS XAVIER COLLEGE,C,BEACONSFIELD - OFFICER,397,337,192,47,8,18,6,17,3,1
01741,ST HELENA SECONDARY COLLEGE,G,GREENSBOROUGH,222,158,104,44,8,13,14,20,1,0
01252,ST JOHN'S REGIONAL COLLEGE,C,DANDENONG,137,91,53,49,8,21,6,15,2,0
01370,ST JOSEPH'S COLLEGE,C,FERNTREE GULLY,169,99,54,46,9,7,19,15,4,0
01476,ST JOSEPH'S COLLEGE MILDURA,C,MILDURA,73,39,26,50,27,8,4,12,0,0
01032,ST KEVIN'S COLLEGE,C,TOORAK,259,243,126,85,4,6,6,0,0,0
01501,ST LEONARD'S COLLEGE,I,BRIGHTON EAST,150,88,66,77,6,6,2,8,0,2
01280,ST MARGARET'S SCHOOL,I,BERWICK - NORTH,47,40,26,81,8,12,0,0,0,0
15057,ST MARGARET'S SCHOOL,I,BEACONSFIELD - OFFICER,24,21,14,64,7,14,7,7,0,0
01729,ST MARY MACKILLOP COLLEGE,C,SWAN HILL,50,38,26,42,15,15,15,12,0,0
01028,ST MARY OF THE ANGELS COLLEGE,C,NUMURKAH,74,62,36,31,19,19,19,8,3,0
01913,ST MARY'S COPTIC ORTHODOX COLLEGE,I,CAMPBELLFIELD - COOLAROO,60,53,28,68,0,21,0,4,4,4
01449,ST MICHAEL'S GRAMMAR SCHOOL,I,ST KILDA,140,94,63,59,25,10,0,5,2,0
01393,ST MONICA'S COLLEGE,C,EPPING,289,285,170,58,4,17,9,10,2,1
01321,ST PATRICK'S COLLEGE BALLARAT,C,BALLARAT,210,210,108,36,19,10,19,14,0,1
01678,ST PAUL'S ANGLICAN GRAMMAR SCHOOL,I,WARRAGUL,104,96,56,70,7,13,9,2,0,0
01884,ST PETER'S COLLEGE,C,CRANBOURNE WEST,194,165,85,44,6,26,9,13,2,0
01285,STAR OF THE SEA COLLEGE,C,BRIGHTON (VIC.),175,149,89,73,13,10,1,2,0,0
01655,STAUGHTON COLLEGE,G,MELTON SOUTH,78,59,43,42,5,14,12,16,12,0
01681,STAWELL SECONDARY COLLEGE,G,STAWELL,51,51,36,28,17,6,3,36,11,0
01290,STRATHCONA BAPTIST GIRLS' GRAMMAR,I,SURREY HILLS (WEST) - CANTERBURY,92,70,43,93,5,2,0,0,0,0
01089,STRATHMORE SECONDARY COLLEGE,G,STRATHMORE,234,183,139,60,10,14,4,9,4,0
01006,SUNBURY COLLEGE,G,SUNBURY,121,121,77,35,14,12,16,19,4,0
01676,SUNSHINE COLLEGE,G,SUNSHINE,177,137,91,40,0,24,18,7,11,1
15066,SUZANNE CORY HIGH SCHOOL,G,WERRIBEE - SOUTH,220,139,115,96,0,2,3,0,0,0
01421,SWAN HILL COLLEGE,G,SWAN HILL,100,69,54,43,6,17,20,13,2,0
01215,TALLANGATTA SECONDARY COLLEGE,G,TOWONG,46,46,29,17,17,24,14,28,0,0
15120,TARNEIT SENIOR COLLEGE,G,TARNEIT,135,111,74,55,4,20,7,11,3,0
01889,TAYLORS LAKES SECONDARY COLLEGE,G,TAYLORS LAKES,224,121,94,54,5,15,4,17,2,2
01550,TEMPLESTOWE COLLEGE,G,TEMPLESTOWE LOWER,106,62,50,50,10,8,8,22,2,0
01113,TERANG COLLEGE,G,CORANGAMITE - NORTH,16,14,12,8,25,17,42,8,0,0
01897,THE GRANGE P-12 COLLEGE,G,HOPPERS CROSSING - NORTH,101,68,47,47,11,19,6,11,6,0
01934,THE KING DAVID SCHOOL,I,ARMADALE,59,42,27,48,33,15,0,0,4,0
01701,THE KNOX SCHOOL,I,WANTIRNA SOUTH,67,48,30,87,7,3,3,0,0,0
11808,THOMAS CARR COLLEGE,C,TARNEIT,163,121,75,56,4,17,12,9,1,0
01349,THOMASTOWN SECONDARY COLLEGE,G,THOMASTOWN,73,72,38,47,13,26,3,3,5,3
01012,TIMBOON P-12 SCHOOL,G,CORANGAMITE - SOUTH,24,14,13,46,15,8,15,15,0,0
01425,TRAFALGAR HIGH SCHOOL,G,TRAFALGAR (VIC.),68,62,41,46,10,10,22,10,2,0
01586,TRARALGON COLLEGE,G,TRARALGON,68,47,31,29,3,13,16,35,3,0
01401,TRINITY COLLEGE COLAC INC,C,COLAC REGION,104,86,49,35,22,10,14,18,0,0
01134,TRINITY GRAMMAR SCHOOL KEW,I,KEW,156,136,84,85,7,1,2,2,2,0
01361,TYRRELL COLLEGE,G,BULOKE,14,14,13,31,15,15,15,23,0,0
01372,UNIVERSITY HIGH SCHOOL,G,PARKVILLE,231,134,104,83,9,7,1,1,0,0
01193,VERMONT SECONDARY COLLEGE,G,VERMONT,205,180,120,69,8,10,8,5,0,0
01525,VICTORIAN COLLEGE OF THE ARTS SECONDARY SCHOOL,G,SOUTHBANK,88,87,62,55,8,16,3,15,3,0
11567,VICTORY LUTHERAN COLLEGE,I,WEST WODONGA,33,28,19,21,37,5,11,26,0,0
01101,WANGANUI PARK SECONDARY COLLEGE,G,SHEPPARTON - NORTH,160,157,102,30,18,11,21,16,3,2
01434,WANGARATTA HIGH SCHOOL,G,WANGARATTA REGION,86,72,52,37,13,13,15,15,6,0
01578,WANTIRNA COLLEGE,G,WANTIRNA,191,113,77,47,9,19,6,16,3,0
01173,WARRACKNABEAL SECONDARY COLLEGE,G,YARRIAMBIACK,21,21,16,44,13,6,25,6,6,0
01668,WARRAGUL REGIONAL COLLEGE,G,WARRAGUL,105,103,62,42,5,15,6,29,3,0
01526,WARRANDYTE HIGH SCHOOL,G,WARRANDYTE - WONGA PARK,49,40,26,46,0,15,19,19,0,0
01385,WARRNAMBOOL COLLEGE,G,WARRNAMBOOL - NORTH,161,154,95,18,20,13,23,23,3,0
01509,WELLINGTON SECONDARY COLLEGE,G,MULGRAVE,284,247,174,64,3,17,4,8,3,1
01036,WESLEY COLLEGE,I,SOUTH YARRA - WEST,220,144,87,74,16,2,1,3,0,3
01816,WESLEY COLLEGE,I,GLEN WAVERLEY - WEST,173,165,105,80,7,7,3,3,1,0
01527,WESTBOURNE GRAMMAR SCHOOL,I,TRUGANINA,150,91,68,87,3,0,4,3,1,1
01498,WESTERN PORT SECONDARY COLLEGE,G,HASTINGS - SOMERS,38,36,19,26,5,16,0,42,11,0
01579,WHEELERS HILL SECONDARY COLLEGE,G,WHEELERS HILL,92,74,46,33,11,24,11,17,4,0
01224,WILLIAM RUTHVEN SECONDARY COLLEGE,G,RESERVOIR - WEST,45,35,23,48,4,9,17,9,13,0
01404,WILLIAMSTOWN HIGH SCHOOL,G,WILLIAMSTOWN,230,176,125,54,14,12,5,11,4,0
01672,WONTHAGGI SECONDARY COLLEGE,G,WONTHAGGI - INVERLOCH,144,113,68,21,28,0,12,31,9,0
01165,WOODLEIGH SCHOOL,I,LANGWARRIN,82,65,50,64,20,6,4,6,0,0
01566,WYNDHAM CENTRAL SECONDARY COLLEGE,G,WERRIBEE,82,60,40,23,18,28,15,15,3,0
01454,XAVIER COLLEGE,C,KEW,247,223,121,79,8,6,2,6,0,0
01236,YARRA HILLS SECONDARY COLLEGE,G,MOOROOLBARK,66,56,37,24,0,14,27,24,8,3
01400,YARRA VALLEY GRAMMAR,I,RINGWOOD,172,125,85,75,11,4,5,5,0,1
01191,YARRAM SECONDARY COLLEGE,G,YARRAM,40,31,22,32,9,5,23,27,5,0
,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,
,,,,,,,,,,,,,
* On Track survey data is based on the number of students who responded to the 2019 On Track survey. This is a proportion of those who consented to participate in the On Track survey within the school.,,,,,,,,,,,,,
** On Track survey data does not include international students.,,,,,,,,,,,,,
"^ This category includes destinations of respondents that are not in the labour force or education or training, or those who's destinations cannot be identified.
",,,,,,,,,,,,,
,,,,,,,,,,,,,
Not all schools are included in the table. The following exlusion rules were applied:,,,,,,,,,,,,,
 - Schools with less than 10 Year 12 completers or less than 10 On Track respondents were not reported. ,,,,,,,,,,,,,
" - Schools with less than 50% consent rate, less than 50% response rate or less than 20% of the Year 12 cohort participating in the survey were not reported.",,,,,,,,,,,,,
,,,,,,,,,,,,,
See explanatory notes for further information on data contained within this table.,,,,,,,,,,,,,
