"Education_Sector","Entity_Type","School_No","School_Name","School_Type","School_Status","Prep Males Total","Prep Females Total","Prep Total","Year 1 Males Total","Year 1 Females Total","Year 1 Total","Year 2 Males Total","Year 2 Females Total","Year 2 Total","Year 3 Males Total","Year 3 Females Total","Year 3 Total","Year 4 Males Total","Year 4 Females Total","Year 4 Total","Year 5 Males Total","Year 5 Females Total","Year 5 Total","Year 6 Males Total","Year 6 Females Total","Year 6 Total","Primary Ungraded Males Total","Primary Ungraded Females Total","Primary Ungraded Total","Primary Total","Year 7 Males Total","Year 7 Females Total","Year 7 Total","Year 8 Males Total","Year 8 Females Total","Year 8 Total","Year 9 Males Total","Year 9 Females Total","Year 9 Total","Year 10 Males Total","Year 10 Females Total","Year 10 Total","Year 11 Males Total","Year 11 Females Total","Year 11 Total","Year 12 Males","Year 12 Females","Year 12 Total","Secondary Ungraded Males Total","Secondary Ungraded Females Total","Secondary Ungraded Total","Secondary Total","Grand Total"
"Government",1,4955,"Mentone Park Primary School","Primary","O",22.60,21.00,43.60,26.00,20.00,46.00,19.00,22.00,41.00,25.00,14.00,39.00,18.00,17.00,35.00,18.00,24.00,42.00,14.00,28.00,42.00,0.00,0.00,0.00,288.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,288.60
"Government",1,4961,"Donvale Primary School","Primary","O",26.00,10.00,36.00,23.00,18.00,41.00,12.00,11.00,23.00,17.00,23.00,40.00,16.00,15.00,31.00,13.00,22.00,35.00,24.00,15.00,39.00,0.00,0.00,0.00,245.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,245.00
"Government",1,4962,"Bell Park North Primary School","Primary","O",12.00,14.00,26.00,16.00,11.00,27.00,17.00,11.00,28.00,9.00,13.00,22.00,14.00,15.00,29.00,14.00,10.00,24.00,19.00,17.00,36.00,0.00,0.00,0.00,192.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,192.00
"Government",1,4967,"Boronia Heights Primary School","Primary","O",37.00,29.00,66.00,33.00,28.00,61.00,32.00,41.00,73.00,31.00,28.00,59.00,39.00,29.00,68.00,40.00,31.00,71.00,37.00,40.00,77.00,0.00,0.00,0.00,475.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,475.00
"Government",1,4968,"Glenallen School","Special","O",2.60,3.00,5.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,31.80,53.80,59.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.60,29.00,63.60,63.60,123.00
"Government",1,4970,"Churchill Primary School","Primary","O",8.00,12.00,20.00,11.00,8.00,19.00,10.00,10.00,20.00,6.00,13.00,19.00,11.00,7.00,18.00,13.00,11.00,24.00,15.00,11.00,26.00,0.00,0.00,0.00,146.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,146.00
"Government",1,4972,"Montpellier Primary School","Primary","O",40.00,45.00,85.00,39.00,34.00,73.00,39.00,46.00,85.00,36.00,37.00,73.00,31.00,34.00,65.00,33.00,36.00,69.00,32.00,35.00,67.00,0.00,0.00,0.00,517.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,517.00
"Government",1,4973,"Bayswater South Primary School","Primary","O",23.00,17.00,40.00,33.00,16.00,49.00,17.00,14.00,31.00,23.00,20.00,43.00,27.20,16.00,43.20,19.00,14.00,33.00,18.00,18.00,36.00,0.00,0.00,0.00,275.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,275.20
"Government",1,4974,"Seaford North Primary School","Primary","O",26.00,22.00,48.00,22.00,15.00,37.00,20.00,21.00,41.00,23.00,12.00,35.00,21.00,23.00,44.00,18.00,19.00,37.00,11.00,22.00,33.00,0.00,0.00,0.00,275.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,275.00
"Government",1,4975,"Morwell Park Primary School","Primary","O",22.00,26.00,48.00,23.00,26.00,49.00,31.00,22.00,53.00,18.00,19.00,37.00,26.60,12.00,38.60,23.00,28.00,51.00,26.00,21.00,47.00,0.00,0.00,0.00,323.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,323.60
"Government",1,4976,"Lalor East Primary School","Primary","O",28.00,20.00,48.00,27.00,32.00,59.00,21.00,28.00,49.00,24.00,22.00,46.00,29.00,24.00,53.00,27.00,28.00,55.00,23.00,28.00,51.00,0.00,0.00,0.00,361.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,361.00
"Government",1,4979,"Jackson School","Special","O",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.40,23.00,97.40,97.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,111.00,46.40,157.40,157.40,254.80
"Government",1,4980,"Carlton Primary School","Primary","O",5.00,4.00,9.00,10.00,8.00,18.00,8.00,4.00,12.00,7.00,2.00,9.00,8.00,9.00,17.00,5.00,5.00,10.00,6.00,5.00,11.00,0.00,0.00,0.00,86.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.00
"Government",1,4983,"Oberon South Primary School","Primary","O",2.00,0.00,2.00,6.00,5.00,11.00,8.00,5.00,13.00,1.00,5.00,6.00,7.00,8.00,15.00,7.00,3.00,10.00,9.00,2.00,11.00,0.00,0.00,0.00,68.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.00
"Government",1,4985,"Templestowe Valley Primary School","Primary","O",23.00,28.00,51.00,25.00,37.00,62.00,36.00,34.00,70.00,37.00,27.00,64.00,34.00,42.00,76.00,30.00,33.00,63.00,41.00,28.00,69.00,0.00,0.00,0.00,455.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,455.00
